,High,Low,Adj Close,Change,Average
BRENT_OIL,0.0003700759552884847,0.0003621538053266704,0.0010633707279339433,0.002016578335314989,0.0009530447059660219
COCOA,0.0006596994353458285,0.0005036452785134315,0.000756937253754586,0.006606935989111662,0.002131804489181377
Coffee,0.000419864256400615,0.0003377408138476312,0.00026596160023473203,0.00948454812169075,0.002627028698043432
COPPER,0.0008146557956933975,0.0002642631880007684,0.0009095866116695106,0.007430530618876219,0.002354759053559974
CORN,0.0005918194656260312,0.0005842556711286306,0.0005134736420586705,0.0025406870990991592,0.0010575589694781229
COTTON,0.00019146410340908915,0.0002047624730039388,0.00016127216804306954,0.005395836662501097,0.0014883338517392986
CRUDE_OIL,0.00031807099003344774,0.0002839094086084515,0.0004107666318304837,0.00035642660805024207,0.00034229340963065624
DOW,0.00012336717918515205,0.00036001342232339084,0.00042970723006874323,0.002696953946724534,0.000902510444575455
FEEDER_CATTLE,0.0005100737907923758,0.0003389456251170486,0.0005805426044389606,0.0042017013765871525,0.0014078158492338844
GOLD,0.00036711987922899425,0.0003258688666392118,0.00038831811980344355,0.0038773235864937305,0.001239657613041345
LEAN_HOGS,0.0005097709945403039,0.0005061991396360099,0.0003554039867594838,0.002726833801716566,0.001024551980663091
LIVE_CATTLE,0.00040273761260323226,0.0009009179193526506,0.0011396037880331278,0.004056211095303297,0.001624867603823077
LUMBER,0.0003676747146528214,0.00017268788360524923,0.00017847733397502452,0.001991905737668276,0.0006776864174753428
NASDAQ,0.00020995043450966477,8.067712769843638e-05,0.00015642856305930763,0.0030288335401564837,0.0008689724163559731
NATURAL_GAS,0.00018642634677235037,0.0004984505940228701,0.0002483527932781726,0.005025039426982403,0.001489567290263949
OAT,0.00033159853774122894,0.0011309452820569277,0.0001834282884374261,0.00447235070168972,0.0015295807024813257
PALLADIUM,0.00042425066931173205,0.0007587074069306254,0.00030659555341117084,0.0007754729012958705,0.0005662566327373497
PLATINUM,0.0003641199436970055,0.0005759275518357754,0.0004782491596415639,0.0007412508130073547,0.0005398868670454249
ROUGH_RICE,0.0007100522052496672,0.000523827678989619,0.0005117681575939059,0.0028845493216067553,0.0011575493408599868
RUSSEL2000,0.0019499772461131215,0.0008274701540358365,0.0029961676336824894,0.00688475277274847,0.0031645919516449794
SILVER,0.00022324522433336824,0.0003263615944888443,0.0003653831663541496,0.004969005007296801,0.0014709987481182907
SOYBEAN,0.0006315138889476657,0.00034072695416398346,0.00047655979869887233,0.0012421010760590434,0.0006727254294673912
SOYBEAN_MEAL,0.00046869023935869336,0.0004299120628274977,0.0007563342805951834,0.004958281759172678,0.0016533045854885131
SOYBEAN_OIL,0.0006621623761020601,0.0007220020052045584,0.00035354821011424065,0.0077262804843485355,0.0023659982689423487
SPX,0.00013222542474977672,0.00044524294207803905,0.00032442991505376995,0.0032095720525830984,0.001027867583616171
SUGAR,0.0008584592724218965,0.0004151792381890118,0.0003829103952739388,0.006882775109261274,0.0021348310037865303
US2YT,0.0008741974597796798,0.0018947755452245474,0.000695941096637398,0.004872521851211786,0.002084358988213353
US5YT,0.0005538996774703264,0.00067112036049366,0.0004428897227626294,0.0028232678305357695,0.0011227943978155963
US10YT,0.0003139509935863316,0.00031771339126862586,0.00030054894159547985,0.00203233165666461,0.0007411362457787618
US30YT,0.0006717133801430464,0.000524363829754293,0.0008450475870631635,0.003063126467168331,0.0012760628160322085
WHEAT,0.00026022142264992,0.00021823799761477858,0.000287185306660831,0.012859305366873741,0.0034062375234498177
